B|1619|800|800|255|1.00
B|1612|800|800|255|1.00
B|1597|800|800|253|0.98
B|1569|750|750|251|0.96
B|1374|927|927|255|1.00
B|2145|1100|1100|255|1.00
B|1871|1100|1100|255|1.00
B|1872|1100|1100|255|1.00
B|2154|1100|1100|255|1.00
B|2153|1100|1100|255|1.00
B|1792|812|812|255|1.00
B|2514|1100|1100|255|1.00
B|2515|1100|1100|255|1.00
B|2516|1100|1100|255|1.00
B|2775|927|927|255|1.00
B|2774|927|927|255|1.00
B|1607|927|927|255|1.00
B|1609|700|700|255|1.00
B|3181|1100|1100|255|1.00
B|3180|1100|1100|255|1.00
B|3179|1100|1100|255|1.00
B|3178|1100|1100|255|1.00
B|1835|1100|1100|255|1.00
B|3160|1100|1100|255|1.00
B|3159|1100|1100|255|1.00
B|3155|1100|1100|255|1.00
B|3151|1100|1100|255|1.00
B|3154|1100|1100|255|1.00
B|3152|1100|1100|255|1.00
B|3153|1100|1100|255|1.00
B|3158|1100|1100|255|1.00
B|3156|1100|1100|255|1.00
B|3157|1100|1100|255|1.00
B|3143|1100|1100|255|1.00
B|3144|1100|1100|255|1.00
B|3145|1100|1100|255|1.00
B|3095|1100|1100|255|1.00
B|3115|1100|1100|255|1.00
B|3118|1100|1100|255|1.00
B|3098|1100|1100|255|1.00
B|3096|1100|1100|255|1.00
B|3116|1100|1100|255|1.00
B|3097|1100|1100|255|1.00
B|3117|1100|1100|255|1.00
B|3119|1100|1100|255|1.00
B|3099|1100|1100|255|1.00
B|3122|1100|1100|255|1.00
B|3102|1100|1100|255|1.00
B|3120|1100|1100|255|1.00
B|3100|1100|1100|255|1.00
B|3121|1100|1100|255|1.00
B|3101|1100|1100|255|1.00
B|3123|1100|1100|255|1.00
B|3103|1100|1100|255|1.00
B|3126|1100|1100|255|1.00
B|3106|1100|1100|255|1.00
B|3104|1100|1100|255|1.00
B|3124|1100|1100|255|1.00
B|3125|1100|1100|255|1.00
B|3105|1100|1100|255|1.00
B|3107|1100|1100|255|1.00
B|3127|1100|1100|255|1.00
B|3110|1100|1100|255|1.00
B|3130|1100|1100|255|1.00
B|3108|1100|1100|255|1.00
B|3128|1100|1100|255|1.00
B|3129|1100|1100|255|1.00
B|3109|1100|1100|255|1.00
B|3147|1100|1100|255|1.00
B|3148|1100|1100|255|1.00
B|3149|1100|1100|255|1.00
B|3138|1100|1100|255|1.00
B|3135|1100|1100|255|1.00
B|3136|1100|1100|255|1.00
B|3137|1100|1100|255|1.00
B|3139|1100|1100|255|1.00
B|3141|1100|1100|255|1.00
B|3134|1100|1100|255|1.00
B|3133|1100|1100|255|1.00
B|3131|1100|1100|255|1.00
B|3111|1100|1100|255|1.00
B|3114|1100|1100|255|1.00
B|3112|1100|1100|255|1.00
B|3113|1100|1100|255|1.00
B|3146|1100|1100|255|1.00
B|3150|1100|1100|255|1.00
B|3142|1100|1100|255|1.00
B|3140|1100|1100|255|1.00
B|3132|1100|1100|255|1.00
B|3162|1100|1100|255|1.00
B|3161|1100|1100|255|1.00
B|3163|1100|1100|255|1.00
B|2163|927|927|255|1.00
B|2966|1100|1100|255|1.00
B|2967|1100|1100|255|1.00
B|2965|1100|1100|255|1.00
B|1855|1100|1100|241|0.69
B|1875|1100|1100|252|0.99
B|1876|1100|1098|244|0.78
B|1655|1920|1920|255|1.00
B|1656|1920|1920|248|0.92
B|1654|1920|1920|255|1.00
B|1578|800|800|255|1.00
B|2793|812|812|255|1.00
B|2810|1100|1100|255|1.00
B|2813|1100|1100|255|1.00
B|9|500|500|247|1.00
B|2804|927|927|255|1.00
B|2722|1100|1100|255|1.00
B|2738|1100|1100|255|1.00
B|2809|1100|1100|255|1.00
B|2785|1100|1100|255|1.00
B|2798|927|927|255|1.00
B|2797|927|927|255|1.00
B|2801|927|927|255|1.00
B|2786|927|927|255|1.00
B|2787|1100|1100|255|1.00
B|2718|927|927|255|1.00
B|2719|927|927|255|1.00
B|2782|927|927|255|1.00
B|2784|1100|1100|255|1.00
B|2783|927|927|255|1.00
B|2788|927|927|255|1.00
B|2789|927|927|255|1.00
B|2781|869|869|255|1.00
B|2883|1100|1100|255|1.00
B|2884|173|511|254|0.97
B|2751|1100|1100|255|1.00
B|2750|1100|1100|255|1.00
B|1793|580|580|255|1.00
B|1786|1100|1100|255|1.00
B|2729|1100|1100|255|1.00
B|2728|1100|1100|255|1.00
B|2727|927|927|255|1.00
B|2730|1100|1100|255|1.00
B|2731|927|927|255|1.00
B|2732|927|927|255|1.00
B|2749|1100|1100|255|1.00
